0.010997,0.010997,31.48,58.003
0.6779,0.6779,46.24,26.189
1.8657,1.8657,242.33,141.07
0.74089,0.77788,290.02,227.67
0.004998,0.004998,23.754,8.841
30.425,30.425,189.24,57.221
152.07,152.07,5001,179.1
8.5057,8.5057,171.53,39.097
5001,5001,5001,5001
313.31,313.31,754.03,345.91
0.005998,0.005998,50.275,15.693
0.008998,0.008998,23.788,0.017997
0.018996,0.018996,35.54,0.34995
5001,5001,5001,5001
0.56891,0.56891,35.22,5001
444.87,444.87,5001,471.54
0.054991,0.054991,24.15,9.157
0.06399,0.06399,36.236,21.193
0.005998,0.005998,24.042,9.2259
0.028995,0.038993,23.799,0.047991
5001,5001,5001,5001
0.040993,0.040993,35.24,81.543
7.3479,7.3479,301.84,153.26
0.052991,0.052991,23.787,9.057
0.049991,0.049991,34.612,21.292
0.006998,0.010997,23.879,44.761
25.67,25.67,184.05,52.186
145.13,145.13,586.24,170.94
320.09,320.09,760.03,352.47
0.32795,1.2628,305.63,3.1015
0.24196,0.28796,34.585,23.058
0.14798,0.14798,8.34,28.002
300.02,300.02,799.33,326.31
